index,type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag,latitude,longitude
0,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
1,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
2,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
3,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
4,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
5,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
6,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
7,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
8,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
9,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
10,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
11,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
12,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
13,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
14,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
15,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
16,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
17,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
18,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
19,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
20,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
21,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
22,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
23,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
24,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
25,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
26,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
27,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
28,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
29,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
30,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
31,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
32,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
33,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
34,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
35,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
36,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
37,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
38,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
39,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
40,Etagenwohnung,202,5.0,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492,50.0870527,50.0870527
41,Etagenwohnung,84,3.0,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753,50.1580146,50.1580146
42,Etagenwohnung,53,2.0,670,1991,Philippsring 7,55252,"Mainz - Kastel, Wiesbaden",/expose/111200238,50.006378999999995,50.006378999999995
43,Etagenwohnung,54,2.0,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243,50.1169599,50.1169599
44,Etagenwohnung,81,3.0,990,2006,,65474,"Bischofsheim, Groß-Gerau (Kreis)",/expose/114529671,49.9895565,49.9895565
45,Erdgeschosswohnung,99,3.0,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459,50.00449129999999,50.00449129999999
46,Dachgeschoss,73,2.0,950,1999,Promenadenstraße 8 - 12,64625,"Bensheim, Bergstraße (Kreis)",/expose/111846814,49.666940000000004,49.666940000000004
47,Etagenwohnung,48,1.0,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984,50.104569399999995,50.104569399999995
48,Etagenwohnung,60,1.0,931,2008,Voltastraße 63b,60486,"Frankfurt am Main, Bockenheim",/expose/112018391,50.1168556,50.1168556
49,,89,3.0,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529,50.1008277,50.1008277
50,,112,4.0,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788,50.2313417,50.2313417
51,Etagenwohnung,87,3.0,1300,1972,Breslauer Straße 31,65779,"Kelkheim, Kelkheim (Taunus)",/expose/114530211,50.1316466,50.1316466
52,Etagenwohnung,54,2.0,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663,50.1804837,50.1804837
53,Etagenwohnung,115,4.0,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007,,
54,Etagenwohnung,60,3.0,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383,50.1127309,50.1127309
55,Etagenwohnung,66,2.0,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261,,
56,,111,3.0,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533,50.0817745,50.0817745
57,,105,3.0,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532,50.0817745,50.0817745
58,Etagenwohnung,117,4.0,1330,,,63071,"Offenbach, Stadtmitte",/expose/93038886,51.0426414,51.0426414
59,Dachgeschoss,25,1.0,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290,49.858835299999996,49.858835299999996
60,Penthouse,170,,5375,2019,,60322,"Frankfurt am Main / Nordend-West, Frankfurt am Main",/expose/112579357,18.78378,18.78378
61,,320,5.0,5600,,,60599,"Frankfurt am Main, Oberrad",/expose/109600533,50.100008,50.100008
62,Maisonette,600,15.0,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656,50.1228066,50.1228066
63,Etagenwohnung,405,,11700,2019,,60487,"Frankfurt am Main, Bockenheim",/expose/113651405,50.1223606,50.1223606
64,Penthouse,166,3.0,5300,2019,,61440,"Oberursel / Taunus, Oberursel (Taunus)",/expose/113001587,50.1989105,50.1989105
65,Etagenwohnung,320,9.0,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750,50.1228066,50.1228066
66,,261,,7370,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458111,50.1152448,50.1152448
67,Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779,50.070781200000006,50.070781200000006
68,Penthouse,312,5.0,9350,2002,,60323,"Frankfurt am Main, Westend-Süd",/expose/114458274,50.1152448,50.1152448
69,Maisonette,241,,6440,1914,Ditmarstraße 9,60487,"Frankfurt, Bockenheim",/expose/104293180,50.1269666,50.1269666
70,Etagenwohnung,225,4.0,6821,,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/113405132,50.1168752,50.1168752
71,Penthouse,226,5.0,6615,2015,,60311,"Frankfurt am Main, Innenstadt",/expose/114448268,50.112993200000005,50.112993200000005
72,Maisonette,277,8.0,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975,50.14291420000001,50.14291420000001
73,Maisonette,170,5.0,5350,2019,,60322,"Frankfurt, Nordend-West",/expose/113144601,50.1249136,50.1249136
74,Erdgeschosswohnung,180,4.0,5200,2019,,60322,"Frankfurt am Main, Nordend-West",/expose/114321292,50.1249136,50.1249136
75,Maisonette,317,6.0,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070,50.190833700000006,50.190833700000006
76,,257,,6770,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458013,50.1152448,50.1152448
77,Maisonette,168,4.0,5375,2018,,60322,"Frankfurt am Main, Nordend-West",/expose/114458050,50.1249136,50.1249136
78,Etagenwohnung,160,4.0,6500,,,60323,"Frankfurt, Westend-Süd",/expose/114002361,50.1152448,50.1152448
79,Penthouse,601,6.0,20588,,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851,50.1168752,50.1168752
80,,23,1.0,405,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114546670,50.5849,50.5849
81,Etagenwohnung,24,1.0,395,1870,,65428,"Rüsselsheim, Rüsselsheim am Main",/expose/114524952,49.967529,49.967529
82,Dachgeschoss,34,2.0,451,1947,Wilhelm-Sturmfels-Straße 5,65428,"Rüsselsheim, Rüsselsheim am Main",/expose/114548150,49.9825824,49.9825824
83,,17,1.0,360,1968,,60388,"Frankfurt, Bergen-Enkheim",/expose/114519643,50.1580146,50.1580146
84,Souterrain,20,1.0,380,1971,,64546,"Mörfelden-W, Mörfelden-Walldorf",/expose/81647910,50.001318100000006,50.001318100000006
85,Erdgeschosswohnung,28,1.0,435,1985,,63128,"Dietzenbach, Offenbach (Kreis)",/expose/113979065,50.0206284,50.0206284
86,,29,1.0,511,1962,Jaspertstr. 11,60435,"Frankfurt am Main, Preungesheim",/expose/114332629,50.152992100000006,50.152992100000006
87,Etagenwohnung,29,1.0,470,,Ludwigstr. 28,63065,"Offenbach, Stadtmitte",/expose/114514901,,
88,,29,1.0,325,1948,Händelstraße 4,35392,"Gießen, Gießen (Kreis)",/expose/114219079,50.6773153,50.6773153
89,Dachgeschoss,20,1.0,380,1976,,63225,"Langen, Langen (Hessen)",/expose/114400635,49.9927036,49.9927036
90,Etagenwohnung,26,1.0,370,,,63450,"Hanau, Main-Kinzig-Kreis",/expose/112669477,50.1335542,50.1335542
91,,18,1.0,330,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114218956,50.5849,50.5849
92,Etagenwohnung,29,1.0,470,,Ludwigstr. 28,63065,"Offenbach, Stadtmitte",/expose/114514873,,
93,,38,,415,1971,Fritz-Erler-Strasse 8,63263,"Neu-Isenburg, Offenbach (Kreis)",/expose/114543070,50.100609999999996,50.100609999999996
94,Souterrain,33,1.0,440,1973,Schalksbornstr. 0,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/73101557,50.157175200000005,50.157175200000005
95,Etagenwohnung,22,1.0,400,,,64293,"Darmstadt, Darmstadt-Nord",/expose/91727711,49.8831383,49.8831383
96,Sonstige,20,1.0,270,,Usagasse 33,61169,"Friedberg, Friedberg (Hessen)",/expose/114486744,50.339819299999995,50.339819299999995
97,,20,1.0,300,1900,,63067,"Offenbach, Kaiserlei",/expose/114155386,50.1062969,50.1062969
98,Etagenwohnung,21,1.0,425,1920,Hanauerstraße 15,61169,"Friedberg, Friedberg (Hessen)",/expose/113480822,50.3303,50.3303
99,,20,1.0,395,2019,Altstraße 24,63450,"Hanau, Main-Kinzig-Kreis",/expose/106842815,50.13146029999999,50.13146029999999
100,Maisonette,190,6.0,4560,,,60594,"Sachsenhausen, Sachsenhausen-Nord",/expose/114070987,50.105315600000004,50.105315600000004
101,Penthouse,200,7.0,3350,,,61348,"Bad Homburg v.d.H., Bad Homburg vor der Höhe",/expose/92399822,50.2227094,50.2227094
102,Maisonette,600,15.0,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656,50.1228066,50.1228066
103,Etagenwohnung,203,7.0,5300,1900,,60322,"Frankfurt am Main / Westend-Nord, Frankfurt am Main",/expose/113898942,18.78378,18.78378
104,Etagenwohnung,340,11.0,3220,1984,Karl Herrmann Flach Str. 15a,61440,"Oberursel, Oberursel (Taunus)",/expose/113652947,50.1973,50.1973
105,Dachgeschoss,208,7.0,4600,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217461,50.190833700000006,50.190833700000006
106,Maisonette,172,,3350,1887,,60594,"Frankfurt, Sachsenhausen-Nord",/expose/113355215,50.0978128,50.0978128
107,Etagenwohnung,320,9.0,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750,50.1228066,50.1228066
108,Terrassenwohnung,190,7.0,2630,1991,Louisenstraße 121,61348,"Bad Homburg, Bad Homburg vor der Höhe",/expose/88933784,50.2234073,50.2234073
109,Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779,50.070781200000006,50.070781200000006
110,,135,6.0,1740,1992,,65817,"Eppstein, Main-Taunus-Kreis",/expose/114003664,50.1493295,50.1493295
111,Penthouse,250,6.0,3895,1985,,60431,"Frankfurt, Eschersheim",/expose/114526448,50.1612049,50.1612049
112,Maisonette,108,6.0,1566,1954,,63069,"Offenbach am Main, Lauterborn",/expose/114328979,50.0841415,50.0841415
113,Maisonette,277,8.0,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975,50.14291420000001,50.14291420000001
114,Etagenwohnung,250,7.0,5400,,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458148,50.1152448,50.1152448
115,Etagenwohnung,200,7.0,3600,,,60325,"Frankfurt, Westend-Süd",/expose/106937651,50.1152448,50.1152448
116,Maisonette,317,6.0,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070,50.190833700000006,50.190833700000006
117,Penthouse,179,6.0,2830,2020,Riedstraße 10 a,63225,"Langen, Langen (Hessen)",/expose/114497702,49.9916,49.9916
118,Penthouse,601,6.0,20588,,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851,50.1168752,50.1168752
119,Etagenwohnung,152,7.0,1550,1980,Finkenweg 6,61197,"Florstadt, Wetteraukreis",/expose/114486965,50.3169939,50.3169939
120,Etagenwohnung,38,1.0,899,,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543233,50.001195,50.001195
121,,23,1.0,405,1920,Westanlage 20,35390,"Gießen, Gießen (Kreis)",/expose/114546670,50.5849,50.5849
122,Etagenwohnung,17,1.0,830,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534602,50.122949,50.122949
123,,30,1.0,590,1968,Rohrbachstrasse 37,60389,"Frankfurt am Main, Nordend-Ost",/expose/114548535,50.127993599999996,50.127993599999996
124,,30,1.0,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244,50.1139623,50.1139623
125,Dachgeschoss,60,1.0,930,1900,Auf der Beun -,65933,"Frankfurt, Griesheim",/expose/114546281,50.0923876,50.0923876
126,Etagenwohnung,23,1.0,630,,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543229,50.001195,50.001195
127,Etagenwohnung,38,1.0,919,1970,,55116,"Mainz, Altstadt",/expose/114550318,50.002218400000004,50.002218400000004
128,Etagenwohnung,16,1.0,800,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534601,50.122949,50.122949
129,Etagenwohnung,48,1.0,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984,50.104569399999995,50.104569399999995
130,Erdgeschosswohnung,27,1.0,417,1967,,63303,"Dreieich, Offenbach (Kreis)",/expose/114538815,18.78378,18.78378
131,,21,1.0,560,1960,Berger Strasse 128,60385,"Frankfurt am Main, Bornheim",/expose/114548392,50.1231972,50.1231972
132,,26,1.0,765,,Gräfstraße 76,60486,"Francoforte, Westend-Süd",/expose/114541249,50.11651,50.11651
133,Erdgeschosswohnung,21,1.0,590,,,60438,"Frankfurt am Main, Riedberg",/expose/114548138,50.1766221,50.1766221
134,Etagenwohnung,38,1.0,899,,Bahnhofplatz 2,55116,"Mainz, Altstadt",/expose/114543237,50.001195,50.001195
135,Etagenwohnung,38,1.0,580,,Beienheimer Str. 10,61169,"Friedberg, Friedberg (Hessen)",/expose/114544558,50.3303,50.3303
136,Etagenwohnung,36,1.0,819,1970,,55116,"Mainz, Altstadt",/expose/114543226,50.002218400000004,50.002218400000004
137,,30,1.0,680,1968,Rohrbachstrasse 37,60389,"Frankfurt am Main, Nordend-Ost",/expose/114548440,50.127993599999996,50.127993599999996
138,Etagenwohnung,35,1.0,850,1970,,55116,"Mainz, Altstadt",/expose/114543235,50.002218400000004,50.002218400000004
139,Dachgeschoss,25,1.0,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290,49.858835299999996,49.858835299999996
140,,320,5.0,5600,,,60599,"Frankfurt am Main, Oberrad",/expose/109600533,50.100008,50.100008
141,Maisonette,321,5.0,5500,1956,,60311,"Frankfurt, Altstadt",/expose/114088877,50.1104421,50.1104421
142,Maisonette,600,15.0,13400,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/98567656,50.1228066,50.1228066
143,Etagenwohnung,340,11.0,3220,1984,Karl Herrmann Flach Str. 15a,61440,"Oberursel, Oberursel (Taunus)",/expose/113652947,50.1973,50.1973
144,Etagenwohnung,321,5.0,5470,1956,,60311,"Frankfurt, Altstadt",/expose/114481259,50.1104421,50.1104421
145,Etagenwohnung,405,,11700,2019,,60487,"Frankfurt am Main, Bockenheim",/expose/113651405,50.1223606,50.1223606
146,Penthouse,267,4.0,4050,2005,,60320,"Frankfurt am Main, Dornbusch",/expose/114457849,50.1471704,50.1471704
147,Etagenwohnung,320,9.0,7600,1900,Auf der Körnerwiese 17-19,60322,"Frankfurt am Main, Westend-Nord",/expose/89886750,50.1228066,50.1228066
148,,261,,7370,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458111,50.1152448,50.1152448
149,Etagenwohnung,276,4.0,4190,2007,,60320,"Frankfurt, Westend-Nord",/expose/114481258,50.1263563,50.1263563
150,Maisonette,280,,6500,,,60599,"Frankfurt am Main, Sachsenhausen-Süd",/expose/113324779,50.070781200000006,50.070781200000006
151,Penthouse,312,5.0,9350,2002,,60323,"Frankfurt am Main, Westend-Süd",/expose/114458274,50.1152448,50.1152448
152,Penthouse,250,6.0,3895,1985,,60431,"Frankfurt, Eschersheim",/expose/114526448,50.1612049,50.1612049
153,Maisonette,277,8.0,5450,1913,,65812,"Bad Soden, Bad Soden am Taunus",/expose/113165975,50.14291420000001,50.14291420000001
154,Etagenwohnung,250,7.0,5400,,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458148,50.1152448,50.1152448
155,Etagenwohnung,285,5.0,3800,,,63303,"Dreieich, Offenbach (Kreis)",/expose/114089609,18.78378,18.78378
156,Maisonette,317,6.0,6750,1906,,61476,"Kronberg, Kronberg im Taunus",/expose/114217070,50.190833700000006,50.190833700000006
157,,257,,6770,2017,,60325,"Frankfurt am Main, Westend-Süd",/expose/114458013,50.1152448,50.1152448
158,Penthouse,267,4.0,4050,2005,,60320,"Frankfurt am Main, Westend-Nord",/expose/114457882,50.1263563,50.1263563
159,Penthouse,601,6.0,20588,,Hochstraße 42-46,60322,"Frankfurt am Main, Innenstadt",/expose/114421851,50.1168752,50.1168752
160,Etagenwohnung,12,1.0,760,,Braubachstraße 25,60311,"Frankfurt, Altstadt",/expose/114534422,50.1112191,50.1112191
161,Etagenwohnung,15,1.0,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533901,50.122949,50.122949
162,Etagenwohnung,11,1.0,750,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010296,50.122949,50.122949
163,Etagenwohnung,15,1.0,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010375,50.122949,50.122949
164,Etagenwohnung,13,1.0,760,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534599,50.122949,50.122949
165,Etagenwohnung,16,1.0,730,,Kleine Rittergasse 43,60594,"Frankfurt, Sachsenhausen-Nord",/expose/114534532,50.105334899999995,50.105334899999995
166,Etagenwohnung,12,1.0,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533912,50.122949,50.122949
167,Etagenwohnung,10,1.0,620,,Münchener Straße 55,60329,"Frankfurt, Bahnhofsviertel",/expose/114534257,50.1067773,50.1067773
168,Etagenwohnung,16,1.0,800,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114534601,50.122949,50.122949
169,Etagenwohnung,15,1.0,740,,Mainzer Landstraße 258,60389,"Frankfurt, Gallusviertel",/expose/114534037,50.1029805,50.1029805
170,Etagenwohnung,15,1.0,790,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114079184,50.122949,50.122949
171,Etagenwohnung,12,1.0,679,2019,,60486,"Frankfurt am Main, Westend-Süd",/expose/114044791,50.1152448,50.1152448
172,Etagenwohnung,14,1.0,590,1989,Hausener Weg 120,60488,"Frankfurt am Main, Hausen",/expose/111890933,50.1327372,50.1327372
173,Etagenwohnung,13,1.0,780,,Wallstraße 26,60594,"Frankfurt, Sachsenhausen-Nord",/expose/114534431,50.105358700000004,50.105358700000004
174,Etagenwohnung,12,1.0,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114010287,50.122949,50.122949
175,Etagenwohnung,13,1.0,770,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533870,50.122949,50.122949
176,Etagenwohnung,11,1.0,750,,Schleiermacherstraße 10,60316,"Frankfurt, Nordend-Ost",/expose/114533828,50.122949,50.122949
177,Etagenwohnung,11,1.0,750,,Braubachstraße 25,60311,"Frankfurt, Altstadt",/expose/114534397,50.1112191,50.1112191
178,Etagenwohnung,15,1.0,740,,Petterweilstraße 31,60385,"Frankfurt, Nordend-Ost",/expose/114534373,50.12597,50.12597
179,Sonstige,15,1.0,650,,Mittlerer Hasenpfad 37,60598,"Frankfurt am Main, Sachsenhausen-Süd",/expose/114515278,50.094817,50.094817
180,Etagenwohnung,202,5.0,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492,50.0870527,50.0870527
181,Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189,50.14291420000001,50.14291420000001
182,Etagenwohnung,84,3.0,1360,,,60388,"Frankfurt am Main, Bergen-Enkheim",/expose/114553753,50.1580146,50.1580146
183,Etagenwohnung,54,2.0,565,1955,Waldschmidtstraße 85,60314,"Frankfurt am Main, Ostend",/expose/114557243,50.1169599,50.1169599
184,,30,1.0,565,,Theobald-Christ-Straße 11,60316,"Frankfurt am Main, Ostend",/expose/114550244,50.1139623,50.1139623
185,Etagenwohnung,62,2.0,800,,Schneidhainer Straße 6,61462,"Königstein im Taunus, Hochtaunuskreis",/expose/114550707,50.1785375,50.1785375
186,Erdgeschosswohnung,99,3.0,1190,1968,,64546,"Mörfelden, Mörfelden-Walldorf",/expose/114552459,50.00449129999999,50.00449129999999
187,Etagenwohnung,38,1.0,919,1970,,55116,"Mainz, Altstadt",/expose/114550318,50.002218400000004,50.002218400000004
188,Etagenwohnung,48,1.0,1050,2014,Gerbermühlstraße 25,60594,"Frankfurt am Main, Sachsenhausen-Nord",/expose/114556984,50.104569399999995,50.104569399999995
189,,89,3.0,1391,2015,Speicherstraße 26,60327,"Frankfurt am Main, Gutleutviertel",/expose/114554529,50.1008277,50.1008277
190,,112,4.0,1480,1925,,61184,"Karben, Wetteraukreis",/expose/114556788,50.2313417,50.2313417
191,,40,2.0,820,1975,,60318,"Frankfurt am Main, Nordend-West",/expose/114550604,50.1249136,50.1249136
192,Etagenwohnung,54,2.0,790,1996,,61118,"Bad Vilbel, Wetteraukreis",/expose/114554663,50.1804837,50.1804837
193,Etagenwohnung,115,4.0,1360,,Frankfurter Str. 44,63065,"Offenbach am Main, Stadtmitte",/expose/114551007,,
194,Etagenwohnung,90,3.0,1300,1760,Frankfurter Straße 44,63065,"Offenbach am Main, Stadtmitte",/expose/114550472,,
195,Etagenwohnung,60,3.0,1400,,Lange Straße 20,60311,"Frankfurt am Main, Innenstadt",/expose/114555383,50.1127309,50.1127309
196,Etagenwohnung,66,2.0,990,1900,Taunusstr. 43,63067,"Offenbach, Stadtmitte",/expose/114557261,,
197,,111,3.0,1501,2016,Saonestraße 17,60528,"Frankfurt am Main, Niederrad",/expose/114554533,50.0817745,50.0817745
198,,105,3.0,1606,2016,Saonestraße 13,60528,"Frankfurt am Main, Niederrad",/expose/114554532,50.0817745,50.0817745
199,Dachgeschoss,25,1.0,525,,Heidelberger Straße 81B,64285,"Darmstadt, Bessungen",/expose/114551290,49.858835299999996,49.858835299999996
200,Etagenwohnung,202,5.0,3350,1720,,60528,"Frankfurt, Niederrad",/expose/114554492,50.0870527,50.0870527
201,Etagenwohnung,138,,1980,2001,,65812,"Bad Soden, Bad Soden am Taunus",/expose/114550189,50.14291420000001,50.14291420000001
