index,type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag,latitude,longitude
1941,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
1942,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
1943,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
1944,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
1945,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
1946,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
1947,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
1948,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
1949,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
1950,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
1951,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
1952,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
1953,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
1954,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
1955,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
1956,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
1957,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
1958,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
1959,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
1960,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
1961,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
1962,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
1963,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
1964,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
1965,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
1966,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
1967,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
1968,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
1969,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
1970,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
1971,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
1972,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
1973,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
1974,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
1975,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
1976,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
1977,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
